"location.venue_state","location.lng","location.lat","style_category","med_lat","med_lng","lat_dist","lng_dist"
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"CA",-118.987,34.2029,"IPA",37.9779,-122.415,3.775,-3.42800000000001
"IL",-88.9851,40.5094,"IPA",41.8881,-88.0669,1.3787,0.918199999999999
"CA",-122.387,37.6183,"IPA",37.9779,-122.415,0.3596,-0.0280000000000058
"VA",-79.9592,37.2573,"IPA",37.56675,-77.4482,0.309449999999998,2.511
"CA",-122.255,37.5018,"IPA",37.9779,-122.415,0.476099999999995,-0.160000000000011
"NY",-73.9744,40.796,"IPA",40.78515,-73.9843,-0.0108499999999978,-0.00989999999998759
"CA",-122.018,36.9587,"IPA",37.9779,-122.415,1.0192,-0.397000000000006
"CA",-121.893,37.4115,"IPA",37.9779,-122.415,0.566400000000002,-0.522000000000006
"NY",-73.9863,40.7565,"IPA",40.78515,-73.9843,0.028649999999999,0.00200000000000955
"CA",-122.397,37.7859,"IPA",37.9779,-122.415,0.192,-0.0180000000000007
"NY",-73.9558,40.8038,"IPA",40.78515,-73.9843,-0.0186500000000009,-0.028499999999994
"NJ",-74.2344,41.0372,"IPA",40.398,-74.2344,-0.639199999999995,0
"CA",-122.389,37.7906,"IPA",37.9779,-122.415,0.1873,-0.0260000000000105
"CA",-117.886,33.6774,"IPA",37.9779,-122.415,4.3005,-4.52900000000001
"NC",-78.7137,35.8629,"IPA",35.5917,-80.7803,-0.2712,-2.06660000000001
"CA",-121.273,38.7727,"IPA",37.9779,-122.415,-0.794800000000002,-1.14200000000001
"FL",-80.193,25.8072,"IPA",28.0949,-81.548,2.2877,-1.355
"CA",-118.405,33.9439,"IPA",37.9779,-122.415,4.034,-4.01000000000001
"OR",-122.667,45.5316,"IPA",45.5166,-122.656,-0.0150000000000006,0.0109999999999957
"OR",-122.594,45.5892,"IPA",45.5166,-122.656,-0.0726000000000013,-0.0620000000000118
"CA",-122.318,37.8635,"IPA",37.9779,-122.415,0.114399999999996,-0.0970000000000084
"CA",-117.891,34.0748,"IPA",37.9779,-122.415,3.90309999999999,-4.524
"WA",-122.485,47.6083,"IPA",47.6083,-122.315,0,0.170000000000002
"TX",-97.0928,32.7479,"IPA",31.8181,-97.0367,-0.9298,0.0561000000000007
"PA",-75.4128,40.5594,"IPA",40.2875,-75.9941,-0.271899999999995,-0.581299999999999
"NY",-73.9911,40.756,"IPA",40.78515,-73.9843,0.0291500000000013,0.00680000000001257
"MO",-94.6534,39.2092,"IPA",38.8689,-94.18805,-0.340300000000006,0.465350000000001
"OH",-81.4953,40.8011,"IPA",39.6268,-84.1733,-1.1743,-2.678
"MO",-93.2106,37.1776,"IPA",38.8689,-94.18805,1.6913,-0.977450000000005
"FL",-81.2099,28.5665,"IPA",28.0949,-81.548,-0.471600000000002,-0.338099999999997
"CA",-121.238,37.7906,"IPA",37.9779,-122.415,0.1873,-1.17700000000001
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
"OH",-84.1733,39.6268,"Brown",39.6268,-84.1733,0,0
