"Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
"Thirsty Dog Siberian Night Imperial Stout","OH, USA","Imperial Stout","9%","4.113 (45)",4.113,45,"OH","ohio"
"Deschutes The Dissident","OR, USA","Wild Ale","11%","4.111 (25)",4.111,25,"OR","oregon"
"Bear Republic Big Bear Black Stout","CA, USA","Imperial Stout","8.10%","4.107 (59)",4.107,59,"CA","california"
"Stone 6th Anniversary Porter","CA, USA","Imperial Porter","8%","4.106 (14)",4.106,14,"CA","california"
"Victory Old Horizontal","PA, USA","American Barleywine","11%","4.100 (70)",4.1,70,"PA","pennsylvania"
"Port Brewing Older Viscosity","CA, USA","Strong Ale","12.50%","4.100 (22)",4.1,22,"CA","california"
"Ommegang Three Philosophers","NY, USA","Abbey Quadrupel","9.80%","4.099 (114)",4.099,114,"NY","new york"
"North Coast Old Rasputin XIV","CA, USA","Imperial Stout","11.50%","4.090 (7)",4.09,7,"CA","california"
"Russian River Supplication","CA, USA","Wild Ale","7%","4.086 (33)",4.086,33,"CA","california"
"Ballast Point Victory at Sea Coffee Vanilla Imperial Porter","CA, USA","Imperial Porter","10%","4.082 (19)",4.082,19,"CA","california"
"AleSmith IPA","CA, USA","IPA","7.25%","4.081 (49)",4.081,49,"CA","california"
"Russian River Pliny the Elder","CA, USA","Imperial IPA","8%","4.076 (50)",4.076,50,"CA","california"
"Surly Abrasive Ale","MN, USA","Imperial IPA","8.80%","4.075 (13)",4.075,13,"MN","minnesota"
"Rogue Chocolate Stout","OR, USA","Chocolate Stout","6.30%","4.070 (106)",4.07,106,"OR","oregon"
"AleSmith Wee Heavy Scotch Ale","CA, USA","Scottish Ale","10%","4.067 (43)",4.067,43,"CA","california"
"Smuttynose Baltic Porter","NH, USA","Baltic Porter","8.70%","4.064 (19)",4.064,19,"NH","new hampshire"
"Surly Darkness","MN, USA","Imperial Stout","9.80%","4.063 (22)",4.063,22,"MN","minnesota"
"Three Floyds Dark Lord Imperial Stout","IN, USA","Imperial Stout","13%","4.062 (36)",4.062,36,"IN","indiana"
"Firestone Walker Parabola","CA, USA","Imperial Stout","13%","4.062 (13)",4.062,13,"CA","california"
"Dogfish Head 90 Minute IPA","DE, USA","Imperial IPA","9%","4.060 (139)",4.06,139,"DE","delaware"
"New Glarus Serendipity","WI, USA","Wild Ale","-","4.060 (12)",4.06,12,"WI","wisconsin"
"Brooklyn Black Chocolate Stout","NY, USA","Imperial Stout","10.10%","4.056 (109)",4.056,109,"NY","new york"
"Founders Canadian Breakfast Stout","MI, USA","Imperial Stout","9.40%","4.055 (8)",4.055,8,"MI","michigan"
"Bells Kalamazoo Stout","MI, USA","Stout","6.50%","4.054 (81)",4.054,81,"MI","michigan"
"Bells Two Hearted Ale","MI, USA","IPA","7%","4.053 (90)",4.053,90,"MI","michigan"
"Smuttynose Imperial Stout","NH, USA","Imperial Stout","10%","4.051 (32)",4.051,32,"NH","new hampshire"
"Rogue Shakespeare Stout","OR, USA","Oatmeal Stout","6%","4.050 (116)",4.05,116,"OR","oregon"
"Williamsburg AleWerks Brewmasters Reserve Café Royale","VA, USA","Imperial Stout","8%","4.050 (5)",4.05,5,"VA","virginia"
"Bear Republic Hop Rod Rye","CA, USA","Rye Beer","7.50%","4.046 (70)",4.046,70,"CA","california"
"Goose Island Rare Bourbon County Stout","IL, USA","Imperial Stout","13%","4.044 (6)",4.044,6,"IL","illinois"
"Victory Storm King Stout","PA, USA","Imperial Stout","9.10%","4.043 (89)",4.043,89,"PA","pennsylvania"
"The Bruery Black Tuesday","CA, USA","Imperial Stout","19.50%","4.040 (7)",4.04,7,"CA","california"
"Southern Tier Imperial Choklat Stout","NY, USA","Imperial Stout","11%","4.039 (38)",4.039,38,"NY","new york"
"Deschutes The Abyss","OR, USA","Imperial Stout","11%","4.034 (29)",4.034,29,"OR","oregon"
"Three Floyds Alpha King Pale Ale","IN, USA","American Pale Ale","6.50%","4.031 (62)",4.031,62,"IN","indiana"
"Bells Third Coast Old Ale","MI, USA","English Barleywine","9%","4.025 (48)",4.025,48,"MI","michigan"
"Prairie Artisan Ales Bomb!","OK, USA","Imperial Stout","14%","4.025 (5)",4.025,5,"OK","oklahoma"
"Bear Republic Racer 5 India Pale Ale","CA, USA","IPA","7%","4.022 (67)",4.022,67,"CA","california"
"Stone Oaked Arrogant Bastard Ale","CA, USA","Strong Ale","7.20%","4.022 (56)",4.022,56,"CA","california"
"New Belgium Lips of Faith La Folie","CO, USA","Flanders Red","6%","4.022 (44)",4.022,44,"CO","colorado"
"Surly Furious","MN, USA","IPA","6.50%","4.022 (31)",4.022,31,"MN","minnesota"
"Deschutes The Abyss 2011 / 2012 Reserve","OR, USA","Imperial Stout","11%","4.022 (6)",4.022,6,"OR","oregon"
"Russian River Consecration","CA, USA","Wild Ale","10%","4.020 (22)",4.02,22,"CA","california"
"North Coast Old Rasputin Russian Imperial Stout","CA, USA","Imperial Stout","9%","4.019 (135)",4.019,135,"CA","california"
"Hoppin' Frog Boris The Crusher","OH, USA","Imperial Stout","9.40%","4.016 (35)",4.016,35,"OH","ohio"
"Hair of the Dog Fred","OR, USA","American Barleywine","10%","4.013 (49)",4.013,49,"OR","oregon"
"Brooklyn Black Ops","NY, USA","Imperial Stout","10.70%","4.010 (18)",4.01,18,"NY","new york"
"Central Waters Brewer's Reserve Bourbon Barrel Stout","WI, USA","Imperial Stout","9.50%","4.003 (26)",4.003,26,"WI","wisconsin"
"New Glarus Raspberry Tart","WI, USA","Fruit Beer","4%","4.002 (43)",4.002,43,"WI","wisconsin"
"Epic Big Bad Baptist Imperial Stout","UT, USA","Imperial Stout","11.70%","4.000 (8)",4,8,"UT","utah"
"Great Divide Chocolate Oak Aged Yeti","CO, USA","Imperial Stout","9.50%","3.996 (24)",3.996,24,"CO","colorado"
"Sierra Nevada Hoptimum","CA, USA","Imperial IPA","10.40%","3.996 (24)",3.996,24,"CA","california"
"Bells Batch 7000","MI, USA","Imperial Stout","12%","3.995 (19)",3.995,19,"MI","michigan"
"Nectar Ales Black Xantus","CA, USA","Imperial Stout","11%","3.993 (12)",3.993,12,"CA","california"
"Stone Old Guardian Barley Wine","CA, USA","American Barleywine","11.26%","3.991 (64)",3.991,64,"CA","california"
