"Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
"AleSmith Speedway Stout","CA, USA","Imperial Stout","12%","4.411 (92)",4.411,92,"CA","california"
"Goose Island Bourbon County Stout","IL, USA","Imperial Stout","14.50%","4.323 (73)",4.323,73,"IL","illinois"
"New Glarus Belgian Red","WI, USA","Fruit Beer","5.10%","4.251 (71)",4.251,71,"WI","wisconsin"
"Three Floyds Dreadnaught Imperial IPA","IN, USA","Imperial IPA","9.50%","4.240 (70)",4.24,70,"IN","indiana"
"Dogfish Head World Wide Stout","DE, USA","Imperial Stout","18%","4.238 (99)",4.238,99,"DE","delaware"
"Stone Double Bastard Ale","CA, USA","American Barleywine","11.20%","4.236 (83)",4.236,83,"CA","california"
"Founders Kentucky Breakfast Bourbon Aged Stout","MI, USA","Imperial Stout","10%","4.227 (35)",4.227,35,"MI","michigan"
"Bells Hopslam","MI, USA","Imperial IPA","10%","4.220 (58)",4.22,58,"MI","michigan"
"Stone Imperial Russian Stout","CA, USA","Imperial Stout","10.50%","4.217 (93)",4.217,93,"CA","california"
"AleSmith YuleSmith - Summer","CA, USA","Imperial IPA","9.50%","4.210 (46)",4.21,46,"CA","california"
"AleSmith Barrel Aged Speedway Stout","CA, USA","Imperial Stout","12%","4.196 (21)",4.196,21,"CA","california"
"Bells Expedition Stout","MI, USA","Imperial Stout","11.50%","4.191 (84)",4.191,84,"MI","michigan"
"Stone Ruination IPA","CA, USA","Imperial IPA","7.70%","4.181 (122)",4.181,122,"CA","california"
"Russian River Pliny the Younger","CA, USA","Imperial IPA","11%","4.180 (17)",4.18,17,"CA","california"
"Great Divide Oak Aged Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","4.175 (74)",4.175,74,"CO","colorado"
"Oskar Blues Ten FIDY","CO, USA","Imperial Stout","10%","4.173 (57)",4.173,57,"CO","colorado"
"Great Divide Maverick/Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","4.167 (69)",4.167,69,"CO","colorado"
"Russian River Temptation","CA, USA","Belgian Strong Ale","7.25%","4.161 (20)",4.161,20,"CA","california"
"Founders Breakfast Stout","MI, USA","Coffee Stout","8.30%","4.159 (62)",4.159,62,"MI","michigan"
"AleSmith Barrel Aged Old Numbskull","CA, USA","English Barleywine","10%","4.142 (21)",4.142,21,"CA","california"
"Pizza Port Cuvee de Tomme","CA, USA","Belgian Strong Ale","12%","4.139 (30)",4.139,30,"CA","california"
"Hair of the Dog Adam","OR, USA","Strong Ale","10%","4.135 (54)",4.135,54,"OR","oregon"
"Founders Imperial Stout","MI, USA","Imperial Stout","10.50%","4.135 (34)",4.135,34,"MI","michigan"
"Firestone Walker Abacus","CA, USA","American Barleywine","12%","4.133 (12)",4.133,12,"CA","california"
"AleSmith Old Numbskull","CA, USA","English Barleywine","11%","4.131 (42)",4.131,42,"CA","california"
"Bells Black Note Stout","MI, USA","Imperial Stout","10.50%","4.131 (10)",4.131,10,"MI","michigan"
"Stone India Pale Ale","CA, USA","IPA","6.90%","4.130 (138)",4.13,138,"CA","california"
"Great Divide Hercules Double IPA","CO, USA","Imperial IPA","9.10%","4.122 (86)",4.122,86,"CO","colorado"
