abvMax,abvMin,categoryId,fgMax,fgMin,ibuMax,ibuMin,id,name,ogMin,srmMax,srmMin,status
8.5,4.5,5,1.016,1.004,40,20,72,French & Belgian-Style Saison,1.055,14,4,
5.5,4.5,6,1.014,1.008,42,30,73,International-Style Pale Ale,1.044,14,6,
6.2,4.2,6,1.012,1.006,40,20,74,Australian-Style Pale Ale,1.04,14,5,
5,4,7,1.012,1.006,40,25,75,German-Style Pilsener,1.044,4,3,
5,4,7,1.02,1.014,45,30,76,Bohemian-Style Pilsener,1.044,7,3,
3.6,2.5,7,1.01,1.006,24,16,77,German-Style Leichtbier,1.026,4,2,
5.5,4.5,7,1.012,1.008,25,18,78,Münchner (Munich)-Style Helles,1.044,6,4,
6,5,7,1.014,1.01,29,23,79,Dortmunder / European-Style Export,1.048,6,3,
5.4,4.8,7,1.018,1.012,28,22,80,Vienna-Style Lager,1.046,16,12,
5.9,5.3,7,1.02,1.012,25,18,81,German-Style Märzen,1.05,15,4,
6,5,7,1.014,1.01,29,23,82,German-Style Oktoberfest / Wiesen (Meadow),1.048,5,3,
5,4.5,7,1.018,1.014,25,16,83,European-Style Dark / Münchner Dunkel,1.048,20,15,
5,3.8,7,1.016,1.01,30,22,84,German-Style Schwarzbier,1.044,30,25,
5.9,5.3,7,1.02,1.012,25,18,85,Bamberg-Style Märzen Rauchbier,1.05,15,4,
5.5,4.5,7,1.012,1.008,25,18,86,Bamberg-Style Helles Rauchbier,1.044,6,4,
7.5,6,7,1.024,1.018,30,20,87,Bamberg-Style Bock Rauchbier,1.066,30,20,
7.5,6.3,7,1.024,1.018,30,20,88,Traditional German-Style Bock,1.066,30,20,
8,6,7,1.02,1.012,38,20,89,German-Style Heller Bock/Maibock,1.066,10,4,
8,6.5,7,1.02,1.014,27,17,90,German-Style Doppelbock,1.074,30,12,
33,,7,,,50,,91,German-Style Eisbock,1.074,,,
,,7,,,,,92,Kellerbier (Cellar beer) or Zwickelbier - Lager,,,,
5,3.8,8,1.01,1.006,13,5,93,American-Style Lager,1.04,4,2,
4.4,3.5,8,1.008,1.002,10,5,94,American-Style Light (Low Calorie) Lager,1.024,4,2,
4.4,3.5,8,1.004,0.992,10,3,95,American-Style Low-Carbohydrate Light Lager,1.024,10,2,
4.4,3.5,8,1.008,1.002,15,8,96,American-Style Amber (Low Calorie) Lager,1.024,12,4,
5,4.3,8,1.014,1.01,15,6,97,American-Style Premium Lager,1.044,6,2,
6,5,8,1.018,1.012,40,25,98,American-Style Pilsener,1.045,6,3,
6.25,4.75,8,1.014,1.006,20,7,99,American-Style Ice Lager,1.04,8,2,
7.5,6.25,8,1.01,1.004,23,12,100,American-Style Malt Liquor,1.05,5,2,
5.4,4.8,8,1.018,1.01,30,18,101,American-Style Amber Lager,1.042,14,6,
5.9,5.3,8,1.02,1.012,30,20,102,American-Style Märzen / Oktoberfest,1.05,15,4,
5.5,4,8,1.012,1.008,20,14,103,American-Style Dark Lager,1.04,25,14,
9,7.5,9,1.022,1.016,40,35,104,Baltic-Style Porter,1.072,40,40,
5,3.8,9,1.01,1.006,18,9,105,"Australasian, Latin American or Tropical-Style Light Lager",1.038,5,2,
5.3,4.5,10,1.01,1.008,30,17,106,International-Style Pilsener,1.044,4,3,
5.5,4.3,10,1.008,1.004,23,15,107,Dry Lager,1.04,4,2,
5.1,4,11,1.01,1.004,30,10,108,Session Beer,1.034,2,2,
5.6,4.2,11,1.01,1.004,22,10,109,American-Style Cream Ale or Lager,1.044,5,2,
5.6,4.5,11,1.018,1.01,45,35,110,California Common Beer,1.045,15,8,
