"mnth","beer_sold","beer_made"
1,7611.33333333333,13095.1666666667
2,8413.5,13133.6666666667
3,9840,13198.1666666667
4,9964.16666666667,13235.8333333333
5,10865.5,13328.1666666667
6,11385.1666666667,13355.1666666667
7,10191.6666666667,13415.8333333333
8,10605.8333333333,13504.8333333333
9,10229.5,13522.1666666667
10,10683.8333333333,13584
11,10550.6666666667,13642.6666666667
12,12329.6666666667,13731.8333333333
